sigma_11,sigma_12,sigma_22,sigma_13,sigma_23,sigma_33,alpha_11,alpha_12,alpha_22,alpha_13,alpha_23,alpha_33,nu_11,nu_12,nu_22,nu_13,nu_23,nu_33,tau_11,tau_12,tau_22,tau_13,tau_23,tau_33
0.0625675133555802,0.0920901489263287,0.906872618970699,0.0357864342093775,0.0671006304619826,0.057588394005771,2.38479169701435,0.0453841123705511,0.0320944126305418,0.255124606247564,0.0446905692357704,0.180929786738921,0.241550152082876,0.848383211894633,1.45516534197449,0.726316173567672,1.33312192384555,1.21102340847553,0.881970994214646,0.0,0.0105651426509439,0.0,0.0,0.932069148414702
0.132842755520203,0.143942080283693,1.04823184128801,0.0183843549017027,0.183915219867929,0.280536203761374,0.0888050276890534,0.0170088612371251,0.0121389309358162,0.0955360333322757,0.0170514447554556,0.104079011979667,0.712943262321278,1.08428566467512,1.455385247777,0.57948619857852,0.950638207864984,0.445628788636126,0.823590315970947,0.0,0.0203771486079814,0.0,0.0,0.886299208461429
0.0559316520447515,0.057041541249738,0.277513456213097,0.0126746316321224,0.0977867633522598,0.13880722242475,5.3473758010373,1.06529756878832,0.760915477072549,0.109901676954554,0.109344489683014,0.0777210638055081,0.478740848468832,0.351112906247968,0.223448097788499,0.809446351185744,0.681779337566478,1.14007686974529,0.905768503992631,0.0,0.790025102731919,0.0,0.0,0.835660403538434
0.0101810562375136,-9.658790060460551e-25,0.0033438542519689,-2.96330212520053e-24,0.0185431587908036,0.180061623327046,944584646677604.0,0.189222709291806,0.133812608720611,0.0881841223827845,0.079931621837433,0.0623568002112994,1.03078995382941,1.10880143282281,1.17565684467953,1.36324614166678,1.43578552487811,1.68459567976844,1.06576711455452,0.0,1.28316504044716,0.0,0.0,0.801733120563997
0.142305579704031,0.005467081501562,0.242050540307494,2.0619003927265304e-09,-2.8229856765749104e-09,1.44776888651847e-06,0.154100802735412,0.151015684208109,0.148125026950326,0.21790551449605,0.209457384903448,410.450678872302,1.72063579446548,1.9226157387311,2.11511821519082,1.38044943349725,1.57765969819897,1.0305987179041,0.863221899962606,0.0,0.833390271805395,0.0,0.0,0.957620818618008
0.376745069001227,0.0433301832236629,0.950907605738022,-0.0318298649519136,0.0349907244789618,0.0586246673628349,0.105151015971867,0.0344122837288276,0.0250121669948516,0.0182210013823085,0.0162951959990826,0.0129820271467391,0.993512556032109,1.54223061401063,2.08869299619733,1.020937925162,1.56826237927228,1.04445496056903,0.609619975340834,0.0,0.0084790851010364,0.0,0.0,0.974841907731791
1.17529211406955e-06,-4.8168182445883e-13,9.75836760795036e-06,-2.3730915117750903e-15,-1.8174213475398498e-11,1.50813200587267e-05,2913.73124654143,13.9517692351806,60.3422093116463,14.1415456759049,13.9513627148327,1181.32321704334,1.03060164430341,1.03560428014088,1.03060691597835,1.03560198950699,1.03560462534446,1.03060233471058,0.869950979636116,0.0,1.03605167006992,0.0,0.0,1.07460002159265
0.0714518534000439,0.0740542495915344,0.0773225140132448,0.0026240631153623,0.0028752122191458,0.0001889656552795,0.464513124886445,0.485334682813398,0.509239503084822,0.58873031691371,0.632998158850479,0.938933723639854,1.22126823384417,1.16240382642658,1.10350503939665,1.20916226555372,1.15023518335172,1.19608046237016,0.862357718821481,0.0,0.894671018809274,0.0,0.0,0.947332620840663
0.006531621701927,0.034752438055799,0.543985025343417,-0.0372967185269141,0.0138567929507346,1.11066371695875,0.0332801051942883,0.0384726194263897,0.0472281635131899,0.0399056879695556,0.0499574207780013,0.0532228057828344,0.987373010814892,1.41643151435032,1.8323410068775,0.853383046023274,1.27794273735116,0.712426867321785,1.06934949006152,0.0,0.504723032679143,0.0,0.0,0.0324874350279695
0.877089657908309,-0.0935716139236165,0.120374320346296,-0.0540465430708979,-0.0670036063033215,0.160278407574141,0.0150006239079571,0.0211817520608405,0.271489827564737,0.0212045214912254,0.337317779677023,0.500050596333833,1.60331053274376,0.91974877130601,0.235986644405994,0.993121823082026,0.309426885697781,0.382652410461373,0.0218255253642014,0.0,0.887241286864643,0.0,0.0,0.744414696433635
3.26677389295972e-06,-1.74595038030436e-07,0.0871107348677927,-8.770035924113181e-14,1.24260411448924e-05,1.55893217295e-05,255.741092903322,1.19976367471069,0.851435224390895,0.0938744809703316,0.0935904927058124,0.0663807467639194,1.03060175455135,1.27821068083369,1.51581960711603,1.03511035218085,1.27771927846319,1.02961894981036,0.960393211144992,0.0,1.02090881599222,0.0,0.0,1.00084690668966
0.0521288132856987,-1.8575121272711902e-09,7.88074219325223e-06,0.0120065877950609,-5.4923470580208e-09,0.0844411222152018,0.173510535805439,0.245344135452656,207.156188315531,0.123412449180217,0.142785563429659,0.100969766942992,1.339898057065,1.1917227946268,1.03059989817884,1.23384138817107,1.07856910966424,1.11311443773506,0.943716805701363,0.0,1.02312608738676,0.0,0.0,0.878357435076998
0.188889251656016,0.0077509063500734,0.445105876313764,-0.0813364198367312,0.0520829379231818,0.68011240632351,0.0444495074220865,0.0540606359180347,0.0749132009881174,0.049077057346958,0.0630925788919548,0.055535955921826,0.96749319995145,7.13189197065324,2.06342358586358,1.11496825061978,7.27743879973884,1.2623027949093,0.858862459142946,0.0,0.503565127323623,0.0,0.0,0.430514506754121
0.0576922377089276,0.0811725228008764,0.96355578917966,-1.60333617364713e-06,-9.27159818344013e-08,2.52441687730413e-06,3.86982085862533,0.110870512649243,0.0784159800330635,5.09308584872743,0.11089335428403,314.825500713945,0.126045148635984,0.215943071013504,0.305780985743736,0.578184716676224,0.667967678325839,1.02831110853272,1.0341517466803,0.0,0.023532269018229,0.0,0.0,0.843839138539032
0.159864702733415,-0.0556836077173172,0.840020988064728,-0.0306164440179046,-0.0679773767402124,0.544097023619044,0.0935294911747284,0.0367022166905193,0.0270132327757707,0.0716061609268893,0.0348563082146584,0.0602219802043877,1.28853822192973,1.09884584936994,0.908258965583075,2.56108209828544,2.36952883765243,2.33436326424997,0.821163778993181,0.0,0.221330460250368,0.0,0.0,0.417281405952447
0.0016166779954118,0.0055093277693519,0.0229249646314997,0.0020674997953619,0.0085626789144208,0.0035466810301725,1.7275394158871,1.51954508182302,1.37644838315756,1.61156707472974,1.44174466329753,1.52286934777173,1.13193689389183,1.35191746967392,1.56473599901617,1.10354187934975,1.31967763431667,1.06740514411984,0.953690131381293,0.0,0.93433639440639,0.0,0.0,0.968465096644738
4.95337866088117e-06,-4.05444216596754e-15,2.73041172249729e-05,2.11419533097118e-37,-2.55800167966835e-37,1.29062230222477e-06,1999.42763239968,0.0920551214475133,0.0650941797114489,14.1419587491292,0.0920551214962967,41969860518850.9,1.03060164671529,1.03511737020229,1.0296330936893,1.03560164887735,1.03511737236435,1.03060165103941,0.920081961279101,0.0,0.953431578310065,0.0,0.0,0.842314449660783
