aspect_ratio,angle_degrees,smoothness,bandwidth,decay_true,decay_pseudo,decay_shift,implied_range_ratio,variance_factor,smoothed_correlation,asymptotic_scale,leading_coefficient,directional_contrast_coefficient_to_minor,leading_shift,coefficient_ratio,directional_kernel_variance,kernel_total_variance,support_radius,quadrature_order
1.0,25.0,0.5,0.024657625773836,1.0,0.980219602719232,0.0197803972807678,1.0201795569338696,0.980413933478436,0.3752286885626267,0.024657625773836,0.8040922786428688,0.0,0.0198270064944069,0.9976492057107952,0.2,0.4,1.4142135623730951,96
1.0,25.0,0.5,0.0333151104468964,1.0,0.9732966547750376,0.0267033452249623,1.0274359776065751,0.9736499778259208,0.3778353898584185,0.0333151104468964,0.8040922786428688,0.0,0.0267884230724838,0.996824081533604,0.2,0.4,1.4142135623730951,96
1.0,25.0,0.5,0.0450123054940112,1.0,0.9639612681699444,0.0360387318300556,1.0373860786942968,0.9646027377039226,0.3813791447203494,0.0450123054940112,0.8040922786428688,0.0,0.0361940472916484,0.9957088119949334,0.2,0.4,1.4142135623730951,96
1.0,25.0,0.5,0.0608164769291628,1.0,0.9513815625280282,0.0486184374719718,1.051102984740194,0.9525438758237734,0.3862070854677305,0.0608164769291628,0.8040922786428688,0.0,0.048902059513002,0.9942002025302265,0.2,0.4,1.4142135623730951,96
1.0,25.0,0.5,0.0821696161856783,1.0,0.9344462944856112,0.0655537055143887,1.0701524591635032,0.9365466469077416,0.3928033026826528,0.0821696161856783,0.8040922786428688,0.0,0.066071953913952,0.9921563028052992,0.2,0.4,1.4142135623730951,96
1.0,25.0,0.5,0.1110200091328213,1.0,0.9116778496523932,0.0883221503476068,1.0968786840453375,0.915459043081244,0.4018494151764585,0.1110200091328213,0.8040922786428688,0.0,0.0892703321185624,0.9893785342962954,0.2,0.4,1.4142135623730951,96
1.0,25.0,0.5,0.15,1.0,0.8811253475223392,0.1188746524776608,1.1349123059641035,0.887896736620782,0.4143163993031193,0.15,0.8040922786428688,0.0,0.1206138417964303,0.9855805163581072,0.2,0.4,1.4142135623730951,96
1.0,30.0,0.5,0.003,1.0,0.9975884135319846,0.0024115864680154,1.0024174162763952,0.9975913190672324,0.3687676848613861,0.003,0.8040922786428688,0.0,0.0024122768359286,0.9997138106609912,0.2,0.4,1.4142135623730951,96
1.0,30.0,0.5,0.0040533233920169,1.0,0.9967420141625384,0.0032579858374615,1.0032686350040123,0.9967473156285844,0.3690799417256888,0.0040533233920169,0.8040922786428688,0.0,0.0032592460423633,0.99961334465534,0.2,0.4,1.4142135623730951,96
1.0,30.0,0.5,0.0054764768400905,1.0,0.9955987076181942,0.0044012923818057,1.0044207493924284,0.9956083790751308,0.3695021545518012,0.0054764768400905,0.8040922786428688,0.0,0.0044035927412833,0.9994776175698494,0.2,0.4,1.4142135623730951,96
1.0,30.0,0.5,0.0073993105605927,1.0,0.9940544704809388,0.0059455295190611,1.0059810902678046,0.9940721100448996,0.370073194298068,0.0073993105605927,0.8040922786428688,0.0,0.0059497284890532,0.9992942585531666,0.2,0.4,1.4142135623730951,96
1.0,30.0,0.5,0.0099972661933495,1.0,0.9919689398951472,0.0080310601048527,1.0080960802116463,0.9920011023003354,0.3708457986287055,0.0099972661933495,0.8040922786428688,0.0,0.0080387245536097,0.9990465591020244,0.2,0.4,1.4142135623730951,96
1.0,30.0,0.5,0.0135073843059079,1.0,0.989152806301877,0.010847193698123,1.0109661456036072,0.9892114236375008,0.3718916218379144,0.0135073843059079,0.8040922786428688,0.0,0.0108611834250424,0.9987119518774386,0.2,0.4,1.4142135623730951,96
1.0,30.0,0.5,0.0182499322573664,1.0,0.985350904939342,0.0146490950606581,1.0148668814198327,0.9854576764929424,0.3733082082562804,0.0182499322573664,0.8040922786428688,0.0,0.0146746296139037,0.99825995245417,0.2,0.4,1.4142135623730951,96
1.0,30.0,0.5,0.024657625773836,1.0,0.9802195995327568,0.0197804004672431,1.020179560250246,0.980413933478436,0.3752286897582836,0.024657625773836,0.8040922786428688,0.0,0.0198270064944069,0.9976493664246836,0.2,0.4,1.4142135623730951,96
1.0,30.0,0.5,0.0333151104468964,1.0,0.9732966441614852,0.0267033558385147,1.0274359888105031,0.9736499778259208,0.3778353938685942,0.0333151104468964,0.8040922786428688,0.0,0.0267884230724838,0.99682447773283,0.2,0.4,1.4142135623730951,96
