dimension,smoothness,bandwidth,decay_true,lag,exact_pseudo_decay,exact_decay_shift,leading_decay_shift,transition_pseudo_decay,transition_decay_shift,exact_to_leading_ratio,exact_to_transition_ratio,leading_relative_error,transition_relative_error,exact_variance_factor,transition_variance_factor,transition_variance_loss_relative_error,quadrature_order
2,1.15,0.01,1.0,1.0,0.999848753013772,0.000151246986228,0.0001971937340475,0.9998487561765154,0.0001512438234846,0.7669969178207952,1.0000209115541223,0.3037862040452746,2.0911116838654217e-05,0.9998956436223252,0.9998956459143928,2.1963848284715044e-05,96
2,1.15,0.02,1.0,1.0,0.9994373484074692,0.0005626515925306,0.0007887749361901,0.9994373960495816,0.0005626039504184,0.7133233660393752,1.0000846814392608,0.4018887472484679,8.467426892189746e-05,0.99960934243113,0.9996093772224308,8.905830479852066e-05,96
2,1.15,0.05,1.0,1.0,0.9969254287581027,0.0030745712418971,0.0049298433511885,0.9969270985910156,0.0030729014089844,0.6236650990453682,1.000543405951079,0.6034246609769895,0.0005431108214263,0.9978395665575228,0.9978408018915328,0.0005717991518212,96
2,1.175,0.01,1.0,1.0,0.9998615346197688,0.0001384653802313,0.0001696512478541,0.9998615376096246,0.0001384623903754,0.8161766092658301,1.000021593270998,0.2252250170456653,2.159280473866895e-05,0.9999050503476048,0.9999050524825508,2.24850322661626e-05,96
2,1.175,0.02,1.0,1.0,0.9994802612641056,0.0005197387358943,0.0006786049914166,0.9994803067224838,0.0005196932775162,0.7658928868315674,1.0000874715532018,0.3056656057179397,8.746390259828821e-05,0.9996414152883336,0.9996414479600216,9.111288680402577e-05,96
2,1.175,0.05,1.0,1.0,0.9971224319496153,0.0028775680503847,0.0042412811963539,0.997124048005962,0.0028759519940378,0.678466698425581,1.0005619204876173,0.4739116928222925,0.0005616049103122,0.9979908543744724,0.9979920287929088,0.0005845362434552,96
2,1.2,0.01,1.0,1.0,0.9998727108518034,0.0001272891481965,0.0001489233390399,0.9998727137000816,0.0001272862999183,0.8547293460998063,1.0000223769430152,0.1699609994240568,2.2376442298912496e-05,0.999913188595268,0.999913190596963,2.3057973063906747e-05,96
2,1.2,0.02,1.0,1.0,0.999518380802358,0.0004816191976421,0.0005956933561597,0.9995184244613092,0.0004815755386906,0.8085018787971667,1.0000906585736742,0.2368555055032537,9.06503554422818e-05,0.9996695895383846,0.999669620388162,9.336804094974822e-05,96
2,1.2,0.05,1.0,1.0,0.9973013363815704,0.0026986636184297,0.0037230834759981,0.9973029083505434,0.0026970916494566,0.7248463903179658,1.0005828385451487,0.3796026487230398,0.0005824990422543,0.9981266371545288,0.9981277582965664,0.0005984649692196,96
2,1.225,0.01,1.0,1.0,0.9998825248809514,0.0001174751190485,0.0001327407052375,0.9998825276146798,0.0001174723853202,0.884996948286106,1.000023271242406,0.1299473991821215,2.32707008678779e-05,0.9999202618544402,0.9999202637431048,2.368583498926957e-05,96
2,1.225,0.02,1.0,1.0,0.9995523516253928,0.0004476483746072,0.0005309628209502,0.9995523938242932,0.0004476061757069,0.8430879845901073,1.0000942768499483,0.1861158245377916,9.42679626616592e-05,0.9996944266140986,0.9996944558994786,9.583746936439544e-05,96
2,1.225,0.05,1.0,1.0,0.9974641467502854,0.0025358532497146,0.0033185176309388,0.997465683486372,0.0025343165136278,0.7641524113274509,1.000606371018952,0.3086394614169251,0.0006060035559584,0.9982487906101714,0.9982498652887314,0.0006136779338171,96
2,1.25,0.01,1.0,1.0,0.9998911791896176,0.0001088208103824,0.0001197417399765,0.999891181832301,0.000108818167699,0.9087959670848572,1.0000242853143122,0.1003569956496369,2.4284724549956108e-05,0.9999264376417724,0.999926439434646,2.4372157833053582e-05,96
