path,size_kb,modified,cells,code_cells,md_cells,title,uses_core,read_h5ad,uses_cuda,uses_sklearn
notebooks/legacy/ping_luo/39_gpu_9_82784.ipynb,10.3,2026-02-03,11,8,3,# GPU: are we really running on GPU?,"preambles,helper_functions,fitting_functions",0,0,0
notebooks/legacy/temporary_code/01_importing_util.ipynb,2.0,2026-02-03,7,6,1,Modularise codes that are used repetitively.,,0,0,0
notebooks/legacy/temporary_code/01_out.ipynb,4.9,2026-02-03,7,6,1,Modularise codes that are used repetitively.,,0,0,0
notebooks/legacy/temporary_code/02_linear_regression.ipynb,119.0,2026-02-03,6,6,0,,,0,0,0
notebooks/legacy/temporary_code/03_get_the_name.ipynb,4.7,2026-02-03,3,3,0,,,0,0,0
notebooks/legacy/temporary_code/04_some_visualisation.ipynb,7710.8,2026-02-03,7,7,0,,,0,0,0
notebooks/legacy/temporary_code/05_number_of_features.ipynb,2.4,2026-02-03,5,5,0,,,0,0,0
notebooks/legacy/temporary_code/06_preprocessing.ipynb,6063.2,2026-02-03,9,8,1,# Figure out the right way to preprocess,"preambles,helper_functions,fitting_functions",1,0,0
notebooks/legacy/temporary_code/07_save_and_load.ipynb,20.7,2026-02-03,22,18,4,# Check save and load data.,"preambles,helper_functions,fitting_functions",0,0,0
notebooks/legacy/temporary_code/08_quantisation_of_dist-Copy1.ipynb,16.9,2026-02-03,4,3,1,# To quantise the possible distances and speed up to the computations of K,"preambles,helper_functions,fitting_functions",0,0,0
notebooks/legacy/temporary_code/08_quantisation_of_dist.ipynb,143.6,2026-02-03,29,22,7,# To quantise the possible distances and speed up to the computations of K,"preambles,helper_functions,fitting_functions",0,0,0
notebooks/legacy/temporary_code/09_name_of_jupyter.ipynb,6.6,2026-02-03,2,2,0,,,0,0,0
notebooks/legacy/temporary_code/10_testing_new_matern_kernel.ipynb,6.4,2026-02-03,9,8,1,# Compare three ways of computing marginal Matern Kernel Matrix,"preambles,helper_functions,fitting_functions",0,0,0
notebooks/legacy/temporary_code/11_subsampling_by_grid.ipynb,22.2,2026-02-03,7,6,1,# Develops the subsampling by regular rectangular grid,"preambles,helper_functions,fitting_functions",0,0,0
notebooks/legacy/temporary_code/12_best_lr.ipynb,1343.3,2026-02-03,10,9,1,## Let us look back at the synthetic data set,"preambles,helper_functions,fitting_functions",0,0,0
notebooks/legacy/temporary_code/13_parallel_processing.ipynb,28.1,2026-02-03,2,1,1,# Testing if parallel processing really speeds things up,"preambles,helper_functions,fitting_functions",0,0,0
notebooks/legacy/temporary_code/14_visualisation_loss_history.ipynb,1070.7,2026-02-03,5,5,0,,,0,0,0
notebooks/legacy/temporary_code/15_cov_norm.ipynb,2.6,2026-02-03,2,2,0,,,0,0,0
notebooks/legacy/temporary_code/16_atresia_markers.ipynb,464.2,2026-02-03,23,17,6,"# This notes aims to identify the genes that are biomarkers for atresia.  Hopefully, they include ```Ghr```, ```Cfh```, and ```Pik3r1```.","preambles,helper_functions,fitting_functions",1,0,0
notebooks/legacy/temporary_code/Untitled.ipynb,4.5,2026-02-03,4,4,0,,"preambles,helper_functions,fitting_functions",0,1,0
notebooks/legacy/temporary_code/Untitled1.ipynb,54.4,2026-02-03,4,4,0,,,0,0,0
notebooks/legacy/temporary_code/fourier_analysis/1_exploratory.ipynb,3389.9,2026-02-03,17,16,1,# check if the default multi-variate fourier analysis tools give some visualisation and insight to the data set.,"preambles,helper_functions,fitting_functions",0,0,1
notebooks/legacy/temporary_code/fourier_analysis/2_exploratory_data_visualisation.ipynb,5290.4,2026-02-03,17,15,2,# Think of it as a spatial point process,"preambles,helper_functions,fitting_functions",0,0,0
notebooks/legacy/temporary_code/rename_some_files.ipynb,1.6,2026-02-03,1,1,0,,,0,0,0
